"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"Mrpl15"	226.341345101796	-0.4750613847322	0.148475930028816	0.000804173718702598	0.00302594619403515
"Lypla1"	748.892315191425	-0.269014218882263	0.0962161812791529	0.00423854524605457	0.012805774932905
"Tcea1"	262.885565911744	-0.194398512608036	0.121535499425659	0.098881011173668	0.177971476844197
"Atp6v1h"	927.813825629578	-0.035367599966738	0.126940192393459	0.772084233595151	0.843244982552968
"Rb1cc1"	474.340189764952	0.042072476114114	0.165090936100203	0.78967952959981	0.856463013441613
"Pcmtd1"	481.377451427975	0.0548193532036265	0.107827175051737	0.604299538019455	0.710740238086152
"Rrs1"	418.283227990144	0.263317059746834	0.225334406236302	0.191332345016612	0.299947935677097
"Adhfe1"	35.8571197740258	-0.816655333961738	0.302216236396468	0.00179489116431898	0.00611334001784297
"2610203C22Rik"	11.6470887569027	-0.00346958435373091	0.3696866785867	0.98686108900796	0.990813182886202
"Mybl1"	72.2426942776016	-2.54982489237425	0.282839254046383	1.68850204417646e-20	5.38383719123198e-19
"Vcpip1"	1007.00405198672	0.0828749671002576	0.0865510957516664	0.338362197109088	0.464444342698529
"1700034P13Rik"	92.8643404381861	0.177424338512276	0.237481414567361	0.397802124521489	0.524441104323348
"Sgk3"	756.717604880298	-0.159622369587361	0.158572809028176	0.288683324784953	0.411678004762482
"Mcmdc2"	9.4952895858728	0.350416792631227	0.552456188506565	0.176654436745813	0.282196855101445
"Snhg6"	62.97564792936	-0.172155522572289	0.245886229919446	0.423180203350024	0.548457867409629
"Tcf24"	32.5963422269986	0.203688284288239	0.301696661505664	0.40610101135081	0.533210878119887
"Cops5"	525.664113602542	-0.598855248859408	0.109064073192158	1.88544208435654e-08	1.81121431183942e-07
"Cspp1"	201.9172675634	-0.391994779891677	0.170201883870626	0.0143178235509148	0.0359264526528932
"Arfgef1"	1466.24212217661	-0.0610435731173983	0.0791262907056684	0.434079750747789	0.55954669755633
"Prex2"	6.39878323359672	1.07963306544546	1.397443169626	0.0206461170364718	0.0488854171163571
"Ncoa2"	818.343968927186	-0.0477848200887001	0.143420478236945	0.722204110339732	0.806708795546797
"Tram1"	1876.11664702124	0.0350670349561425	0.0849782538339499	0.689278542913262	0.781997821622801
"Lactb2"	177.634136784388	-0.55671609433934	0.150578215396588	0.000108686334284435	0.000508103645396995
"Gm5523"	4.64074846960514	-0.298034350058673	0.547601471934578	0.212191254488038	0.324181787535435
"Terf1"	102.379679257549	-0.939613728393143	0.215923970666409	3.18500154867293e-06	2.0361714900666e-05
"Rpl7"	2654.22771295246	0.0674675589232281	0.0806855779373815	0.398038677030431	0.524618340842294
"Rdh10"	56.5270488728857	-0.426607085391024	0.246435652201105	0.0493251133199756	0.10128005442576
"Stau2"	100.532872346045	0.274948409463662	0.206502750759606	0.143959856535881	0.239858056511307
"Ube2w"	297.815002191813	0.165920904176819	0.14861396959571	0.242979022203695	0.359533593090665
