,SRR7457551,SRR7457552,SRR7457553,SRR7457554,SRR7457555,SRR7457556,SRR7457557,SRR7457558,SRR7457559
Xkr4,0,0,1,0,0,0,0,0,0
Rp1,0,0,0,0,0,0,0,0,0
Sox17,0,1,0,0,2,0,0,1,2
Mrpl15,368,384,213,179,200,220,194,141,211
Lypla1,1118,1112,657,598,754,818,625,532,705
Tcea1,407,369,266,205,288,274,212,172,244
Rgs20,1,0,1,0,1,0,0,1,2
Atp6v1h,1329,1298,1034,715,954,1252,691,591,746
Oprk1,0,0,0,0,0,0,0,0,0
Npbwr1,0,0,0,0,0,0,0,0,0
Rb1cc1,584,476,304,411,528,425,478,446,585
Alkal1,0,0,0,0,0,0,0,0,0
St18,0,0,0,0,0,0,2,3,0
Pcmtd1,658,547,413,413,549,547,439,347,481
Sntg1,1,0,2,2,1,0,0,1,0
Rrs1,538,545,658,294,444,700,218,181,347
Adhfe1,90,65,31,21,35,37,28,17,25
2610203C22Rik,17,13,12,7,15,12,11,11,8
Vxn,2,1,1,0,1,4,0,5,2
Mybl1,232,205,28,28,21,32,77,40,57
Vcpip1,1346,1143,914,802,1170,1174,855,755,1040
1700034P13Rik,104,111,76,60,114,144,75,58,116
Sgk3,1008,926,539,652,827,585,735,666,884
Mcmdc2,7,4,3,12,15,6,13,3,21
Snhg6,79,87,48,59,62,48,56,60,66
Snord87,0,2,0,2,1,4,1,2,3
Tcf24,43,31,24,27,51,38,32,18,36
Ppp1r42,0,0,0,0,0,0,1,0,0
Cops5,930,973,459,375,523,562,407,310,435
Cspp1,318,314,145,183,209,180,171,136,212
Arfgef1,2115,1761,1360,1122,1679,1538,1302,1063,1509
Cpa6,0,0,0,0,0,1,0,0,0
Prex2,3,1,10,7,7,8,7,9,1
A830018L16Rik,0,0,0,1,0,0,0,2,0
Mir6341,0,0,0,0,0,0,0,0,0
Gm17644,0,0,0,0,0,0,0,0,0
Sulf1,0,0,0,0,1,0,0,0,0
Slco5a1,2,5,0,1,0,0,0,0,3
Prdm14,0,0,1,4,4,0,1,1,0
Ncoa2,1119,972,599,699,1014,777,727,606,958
Tram1,2517,2465,1959,1608,2225,2045,1492,1245,1684
Lactb2,337,268,154,130,151,180,147,118,179
Xkr9,0,0,0,0,0,0,0,0,0
Gm5523,14,9,2,0,4,9,4,0,6
Eya1,3,1,5,2,1,1,1,2,1
Msc,0,0,0,0,0,0,0,0,0
Trpa1,0,0,0,0,0,0,0,0,0
Kcnb2,0,0,0,0,0,0,0,0,0
Terf1,199,208,62,58,92,104,78,82,88
Sbspon,0,3,4,1,12,4,3,2,4
4930444P10Rik,0,0,1,0,2,0,0,0,0
Rpl7,3457,3123,2548,2141,3066,2849,2350,2049,2574
