SRR7457551,SRR7457552,SRR7457553,SRR7457554,SRR7457555,SRR7457556,SRR7457557,SRR7457558,SRR7457559
0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,2,0,0,1,2
368,384,213,179,200,220,194,141,211
1118,1112,657,598,754,818,625,532,705
407,369,266,205,288,274,212,172,244
1,0,1,0,1,0,0,1,2
1329,1298,1034,715,954,1252,691,591,746
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
584,476,304,411,528,425,478,446,585
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,3,0
658,547,413,413,549,547,439,347,481
1,0,2,2,1,0,0,1,0
538,545,658,294,444,700,218,181,347
90,65,31,21,35,37,28,17,25
17,13,12,7,15,12,11,11,8
2,1,1,0,1,4,0,5,2
232,205,28,28,21,32,77,40,57
1346,1143,914,802,1170,1174,855,755,1040
104,111,76,60,114,144,75,58,116
1008,926,539,652,827,585,735,666,884
7,4,3,12,15,6,13,3,21
79,87,48,59,62,48,56,60,66
0,2,0,2,1,4,1,2,3
43,31,24,27,51,38,32,18,36
0,0,0,0,0,0,1,0,0
930,973,459,375,523,562,407,310,435
318,314,145,183,209,180,171,136,212
2115,1761,1360,1122,1679,1538,1302,1063,1509
0,0,0,0,0,1,0,0,0
3,1,10,7,7,8,7,9,1
0,0,0,1,0,0,0,2,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0
2,5,0,1,0,0,0,0,3
0,0,1,4,4,0,1,1,0
1119,972,599,699,1014,777,727,606,958
2517,2465,1959,1608,2225,2045,1492,1245,1684
337,268,154,130,151,180,147,118,179
0,0,0,0,0,0,0,0,0
14,9,2,0,4,9,4,0,6
3,1,5,2,1,1,1,2,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
199,208,62,58,92,104,78,82,88
0,3,4,1,12,4,3,2,4
0,0,1,0,2,0,0,0,0
3457,3123,2548,2141,3066,2849,2350,2049,2574
81,90,39,38,54,55,62,36,68
124,118,130,86,111,137,57,67,93
382,317,312,217,308,383,275,240,270
652,633,402,287,416,393,315,308,351
0,0,0,0,0,0,0,0,0
434,419,310,209,276,328,271,198,284
58,38,38,49,62,53,46,52,52
0,1,2,0,0,1,1,0,0
1,2,3,2,5,3,5,3,2
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
1,3,2,0,1,4,0,0,1
2729,2689,410,351,529,515,537,343,521
0,0,2,0,0,0,0,0,0
2,0,8,7,0,4,3,6,1
2,3,3,2,4,1,2,2,3
55,78,39,74,68,64,45,30,60
11,9,12,6,11,15,10,8,11
1,1,1,0,0,1,1,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,2,0,2
0,1,3,2,0,0,0,4,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1064,900,551,523,678,660,494,359,599
0,0,0,0,0,0,0,0,0
420,394,333,326,433,393,267,223,367
982,925,745,678,1060,899,667,557,741
112,95,47,34,71,46,68,57,71
214,151,372,231,393,402,141,115,152
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
944,736,832,713,1096,1139,683,652,777
0,0,0,1,0,0,0,4,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1402,1295,784,981,1382,1119,1008,837,1152
1535,1507,987,778,1238,1196,769,614,735
25,14,9,7,11,15,5,5,10
0,0,0,0,0,0,0,0,0
4,1,2,0,3,0,0,1,1
