SRR7457551,SRR7457552,SRR7457553,SRR7457554,SRR7457555,SRR7457556,SRR7457557,SRR7457558,SRR7457559
1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
710,689,145,154,200,165,188,113,241
1,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
95,104,48,28,37,48,64,44,43
19,23,12,7,11,15,1,4,4
447,411,401,294,417,533,363,260,411
2,1,3,0,1,0,1,1,2
301,305,194,162,204,232,182,157,225
7794,6053,7334,6815,10287,9470,6172,5276,7879
0,0,0,0,0,0,1,0,0
112,90,96,106,161,167,93,80,144
1,2,1,0,0,1,4,0,0
843,622,719,507,714,825,438,317,507
665,638,507,341,514,598,349,225,381
68,51,80,58,77,68,48,41,54
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
156,98,182,117,202,233,131,97,148
5168,4458,3145,2844,3976,3933,3098,2484,3718
3484,3021,2530,2341,3023,3082,2410,2073,2858
849,679,1313,1246,2113,1816,909,634,957
2883,2878,1477,1569,1983,1967,1512,1096,1838
0,0,0,0,0,1,0,1,0
99,76,143,143,178,156,127,83,88
112,97,141,66,103,155,39,38,54
763,640,871,593,1009,919,474,331,532
0,0,0,0,0,0,0,0,0
76,59,35,54,52,59,50,42,68
385,374,172,192,235,220,220,164,260
12,8,3,4,6,3,4,1,1
403,355,255,207,307,273,205,153,258
652,552,229,303,426,300,432,331,583
173,111,117,84,118,119,147,99,171
114,82,66,55,81,99,58,63,79
15,7,13,6,16,17,8,3,7
0,0,0,0,0,0,0,0,0
1176,1126,542,420,622,595,390,379,505
816,763,595,505,698,775,468,364,568
0,1,0,0,0,1,0,0,0
0,4,10,2,17,9,7,10,10
2426,1848,1464,1753,2341,2030,1740,1390,2177
0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1
632,553,754,428,795,1127,534,474,647
1836,1635,1237,917,1181,1317,1013,818,1123
517,473,358,347,416,402,370,284,380
1417,1159,1155,1045,1846,1436,853,714,1003
10,6,20,15,23,22,21,17,12
0,0,1,0,0,0,0,0,0
27,30,32,46,45,42,27,17,28
26,32,32,17,28,28,16,19,28
243,241,124,88,107,153,132,113,138
429,379,221,204,267,225,205,167,222
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
625,554,521,464,546,575,404,380,490
2711,2643,2068,1709,2426,2427,1686,1407,1843
318,298,246,191,266,303,172,159,220
0,0,0,0,0,0,0,0,0
0,0,7,8,8,7,19,16,11
0,0,3,1,0,0,0,5,0
0,1,6,5,2,3,0,6,1
0,0,0,0,0,0,0,0,0
495,454,335,329,400,439,347,263,346
0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,1
1428,1352,910,832,1147,1104,878,746,934
81,89,76,43,77,55,33,33,36
484,386,388,296,421,447,267,236,321
0,4,5,3,20,14,5,2,6
1950,1740,2459,1731,3151,3088,1381,1106,1514
188,177,155,110,133,187,127,120,138
0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
1581,1706,744,767,1025,930,683,521,888
0,0,0,0,0,1,1,0,0
4,1,12,8,15,15,2,1,1
30,29,58,43,84,63,38,26,65
651,475,434,458,712,544,546,477,741
2,1,5,1,6,2,6,9,9
2,10,15,11,14,17,15,12,20
50,68,34,22,24,47,29,20,23
0,0,0,0,0,1,0,0,1
1378,1250,1529,1595,2930,2108,1684,1362,1971
388,272,271,242,289,367,321,255,335
137,110,88,72,139,85,116,93,146
0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
312,238,224,187,268,271,195,147,208
1,0,2,0,0,0,0,0,0
897,861,726,600,981,971,583,449,741
275,222,146,112,140,186,189,110,193
0,1,0,2,1,0,1,1,0
34,36,52,51,43,44,20,24,26
4,3,4,3,3,4,2,2,3
784,739,516,401,569,577,433,378,496
1486,1464,1100,909,1246,1201,853,722,936
1,3,0,2,1,0,0,0,3
10,8,10,4,7,5,4,1,4
181,180,41,63,56,68,61,44,64
268,264,136,127,162,138,164,122,188
236,200,113,114,147,145,177,153,201
216,181,196,165,269,253,183,144,200
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,4,2,1,2,2,2,2,5
0,0,2,0,0,0,0,0,0
444,379,507,195,345,489,238,183,256
56,32,56,40,57,52,37,38,54
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
1,1,2,5,5,7,2,0,1
955,781,325,648,745,496,804,700,884
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
8,3,14,8,11,11,15,10,8
3746,3192,4539,1327,1566,4501,3105,2268,3580
1,1,4,2,0,1,2,0,4
0,2,8,5,11,5,2,4,9
2,6,6,4,7,4,7,9,11
2513,2093,1019,895,1085,1274,1350,1100,1609
1860,1634,1863,1599,2228,2377,1751,1395,1977
822,795,464,431,611,514,450,375,495
0,1,3,1,0,1,1,4,2
0,0,1,0,0,0,1,0,2
145,140,31,33,48,42,66,49,90
86,97,46,94,67,31,76,86,144
75,45,35,43,52,40,65,58,73
161,157,55,52,52,61,107,62,75
0,0,1,2,0,2,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,1,0,1
121,135,40,29,47,36,61,30,55
388,359,183,186,187,193,195,179,235
64,51,32,22,29,37,30,28,30
969,926,498,514,661,520,577,545,618
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0
2746,2438,1382,1985,2535,1922,2696,2239,2914
9,4,18,9,8,3,14,18,11
0,0,0,0,0,0,0,0,0
10,1,1,1,6,3,0,3,2
1,0,1,1,0,0,0,0,1
336,293,285,169,252,289,229,170,239
0,0,0,0,2,0,1,1,1
634,476,502,457,510,525,526,495,748
1727,1309,1371,1437,2122,1748,1369,1132,1661
4861,4629,4859,4252,6240,5397,3398,2772,3839
367,324,387,387,577,483,230,211,288
2288,2631,1269,1090,1202,1331,1014,799,1103
677,797,245,270,365,306,296,266,337
552,518,456,332,512,545,388,315,348
7,6,3,5,6,6,4,6,5
0,1,0,0,0,1,0,0,1
94,94,67,26,33,99,64,29,65
3,0,0,0,2,3,0,1,1
46,19,19,43,79,37,43,27,21
4,2,2,4,4,1,0,2,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
33,17,16,23,12,17,11,13,23
3,5,1,2,0,0,5,0,3
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
18,13,5,2,1,0,3,0,2
189,156,63,54,70,88,99,79,131
88,86,84,49,83,69,47,56,61
169,153,190,143,224,179,90,94,124
0,0,3,0,1,0,0,0,0
154,136,189,135,208,207,130,89,122
571,503,67,64,75,59,105,54,95
0,0,1,0,2,0,0,5,0
0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2902,2694,2199,1576,2428,2508,1603,1336,1881
792,809,581,607,948,692,987,790,1240
206,184,80,99,91,102,135,114,162
294,277,202,131,175,196,174,103,210
417,400,209,161,204,292,153,102,154
217,203,146,104,204,193,118,132,166
394,437,206,180,237,220,186,194,183
5,3,5,7,5,4,6,3,3
0,0,0,0,0,0,0,1,0
936,989,950,557,872,1175,800,695,958
1816,1654,1183,1220,1621,1579,1202,1100,1384
678,617,550,417,554,637,464,379,503
244,186,105,120,128,119,148,117,160
0,0,0,0,0,0,0,0,0
91,95,29,34,35,30,27,25,18
0,1,0,0,3,1,2,1,1
628,554,265,236,270,312,316,254,360
1,0,0,0,0,1,0,0,0
0,0,0,0,2,0,0,1,0
769,591,673,520,1010,1107,482,397,586
0,0,0,1,1,2,0,0,1
365,354,234,183,240,261,203,205,245
945,988,862,413,605,906,387,284,434
0,0,1,0,0,4,0,0,0
1,0,0,1,1,1,0,0,0
1447,1197,1399,1346,1717,1563,1306,1163,1595
701,541,566,696,1038,701,654,498,770
4,3,7,6,13,6,10,10,7
285,311,255,143,155,244,168,119,193
121,122,109,73,86,113,89,69,81
390,415,278,357,353,375,357,337,467
474,450,276,225,314,308,252,207,293
151,120,128,90,147,116,76,56,83
261,245,121,147,116,98,133,128,177
0,1,10,12,9,9,7,13,12
1,2,13,4,12,4,2,0,0
2,0,4,4,8,11,3,6,1
0,0,0,0,0,0,0,0,0
3,6,61,46,75,84,7,1,0
0,0,0,0,0,0,0,0,0
2449,2431,1752,1033,1096,1885,1010,783,1208
16,20,43,9,9,40,7,5,8
1207,1122,760,730,1208,916,974,754,1163
227,201,100,122,152,149,104,73,109
1408,1403,775,666,881,931,733,558,742
2586,2383,1619,1407,2051,1845,1473,1334,1734
6,3,12,2,4,4,4,2,2
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0
11,32,12,11,4,3,4,2,6
0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,2
3,0,2,1,1,1,0,0,2
330,364,246,176,239,284,169,143,168
1,1,3,0,0,1,1,0,2
0,0,0,0,0,0,0,0,0
104,86,83,97,161,126,84,65,106
0,0,0,0,0,0,0,0,1
882,922,386,474,508,464,759,622,783
204,166,89,75,97,115,141,103,154
31,40,3,5,4,3,6,6,2
109,97,74,68,117,93,53,38,71
138,131,68,90,178,119,72,53,97
1354,1142,1148,1056,1309,1413,1012,906,1245
5,3,2,5,7,3,7,6,6
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
6,9,3,4,3,1,4,2,3
4580,3825,2339,2406,3195,3010,2728,2285,2902
1050,1029,651,647,629,763,650,584,784
0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0
4,1,19,11,3,0,1,32,0
0,0,2,4,0,0,0,16,0
815,748,305,315,347,356,381,322,439
161,134,95,91,116,94,87,84,152
1600,1430,829,616,901,1037,597,532,758
0,0,0,0,0,0,0,0,0
248,200,129,130,173,173,147,136,141
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0
79,62,44,69,53,48,97,54,74
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
438,386,36,35,42,38,69,35,69
0,0,0,0,0,0,0,0,0
1538,1455,784,541,703,904,701,491,763
20964,22328,6291,8466,12801,11717,12537,10250,14066
1,3,1,1,0,1,2,0,2
1,1,0,1,0,0,1,0,0
12,13,14,20,26,21,23,24,38
2,5,0,1,3,1,0,0,1
378,461,294,147,222,353,86,87,114
0,0,0,0,0,0,0,0,0
16,12,4,3,1,5,4,6,15
147,124,84,71,105,92,111,79,95
0,0,1,4,0,0,0,1,0
676,546,324,282,360,417,334,261,362
23,15,24,49,47,36,27,37,22
731,613,348,414,484,481,481,356,514
0,0,0,0,0,0,0,0,0
2159,2184,1586,1338,1957,1851,1391,1329,1561
0,0,3,4,2,6,0,4,1
0,0,4,0,1,2,0,3,2
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0
6484,4815,5308,4234,6838,6511,4936,3688,5892
1247,988,956,588,737,1138,756,620,924
121,69,76,43,45,94,34,34,37
63,44,129,123,105,146,91,112,102
0,0,0,0,0,0,0,0,0
10358,9516,7925,5927,8900,8992,5881,4924,6804
1,2,2,0,5,1,0,1,0
1545,1320,1079,1130,1662,1575,1183,937,1373
550,444,352,394,559,470,380,328,460
77,70,81,44,86,76,69,60,69
2722,2137,3191,2538,4165,3878,2976,2596,3561
2,0,0,1,0,1,0,1,1
39,38,55,23,41,50,33,25,35
998,840,534,649,898,770,670,617,872
2,0,0,0,0,0,1,0,1
2,1,4,1,4,4,1,1,0
574,572,280,180,241,357,264,160,316
852,845,461,302,409,498,255,188,329
11,4,10,6,15,9,8,6,5
403,305,261,145,262,331,210,141,268
175,145,75,48,82,68,67,80,94
192,152,212,199,223,288,141,124,165
18,13,5,2,4,9,15,9,13
512,487,398,327,409,506,311,263,356
41,40,98,77,127,80,54,49,62
0,0,1,0,2,0,0,0,1
3,0,0,0,1,1,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0
0,0,3,0,3,0,0,0,4
80,55,29,53,48,30,61,41,50
1,0,1,0,5,5,2,0,3
1264,912,810,836,1266,1002,968,754,1252
1646,1300,873,1059,1305,1093,1112,953,1356
222,190,138,140,176,139,132,121,193
284,230,119,88,122,130,81,103,150
868,693,381,554,728,550,563,491,742
412,281,167,206,232,214,291,187,355
226,182,153,133,205,206,151,123,211
574,503,434,319,457,437,373,244,436
2335,1972,1379,1003,1215,1390,1018,678,1229
0,0,0,0,0,1,0,0,0
126,158,120,104,135,102,126,122,174
0,1,2,6,2,0,0,8,2
0,0,4,3,0,0,1,3,0
532,500,225,322,329,303,275,227,359
0,0,0,1,1,1,4,0,1
0,0,0,0,0,0,0,0,0
47,55,88,90,94,79,35,38,51
635,607,386,347,450,441,444,284,445
0,0,0,0,0,0,0,0,0
727,643,327,348,434,481,367,270,400
60,69,33,41,48,56,66,58,90
0,1,0,0,1,1,0,2,0
0,0,1,0,0,0,0,0,0
634,564,405,427,673,515,444,322,550
0,1,2,0,1,6,1,3,2
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,2,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
13,3,12,4,13,15,9,10,4
861,979,451,333,420,546,359,266,423
0,0,0,0,0,0,0,0,0
60,50,12,20,32,16,13,13,17
141,176,64,53,56,39,42,42,43
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,4,4,0,0,0,3,0
76,64,45,32,43,48,42,40,43
197,160,341,224,360,420,139,106,189
249,217,141,120,132,156,105,112,180
1,1,5,1,2,0,1,4,0
0,0,0,0,0,0,0,0,2
1506,1333,1127,1000,1503,1355,823,723,958
0,0,0,0,0,0,0,0,0
7100,5778,4589,4887,7023,5688,5167,4168,6347
0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,2,1,0,0,4,0
477,337,414,284,400,502,286,214,352
3,0,2,1,8,6,2,0,1
1,2,8,1,9,6,8,1,4
667,613,438,401,570,536,419,361,438
1,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0
1316,1393,1099,788,1055,1198,730,611,753
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,10,6,0,0,0,6,0
401,427,326,333,339,392,275,218,282
0,0,0,0,0,0,0,0,0
0,2,9,7,0,0,0,17,4
0,0,2,0,0,0,0,0,0
3557,3246,2726,1988,2542,3167,2243,1681,2737
25,13,19,10,24,21,20,17,20
9,5,16,26,34,21,41,17,45
2,0,2,0,0,0,0,2,1
12,9,11,17,28,18,6,4,7
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
6,8,5,11,9,4,1,8,3
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0
175,141,211,168,229,242,169,122,202
246,207,248,261,352,256,208,191,257
249,220,168,179,243,246,239,125,234
267,249,276,186,289,305,220,158,258
0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
2069,1948,1657,1526,2319,2093,1355,1222,1574
1694,1541,1778,1515,2515,2218,1471,1285,1810
6,1,2,11,11,1,2,5,4
228,136,151,193,335,263,240,185,211
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2359,2417,1482,1034,1460,1733,1025,828,1131
2,3,13,8,10,12,3,2,3
63,55,42,44,51,48,38,32,56
270,202,263,173,284,421,190,139,218
2431,1849,2670,1620,2431,4138,1702,1372,1967
5910,5529,4260,2797,4403,5163,2469,1950,2865
3,2,3,2,3,6,1,1,6
3,0,5,0,0,0,0,0,1
0,0,1,0,0,2,0,0,0
3,14,2,1,1,5,4,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
5832,5621,2255,1872,2746,2624,1824,1586,2219
308,258,115,157,161,128,182,165,188
228,226,188,96,154,172,150,99,136
0,0,1,0,0,0,0,0,0
275,224,166,153,269,216,167,153,186
3,3,9,5,4,7,4,5,12
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
809,697,465,434,651,631,478,361,580
0,0,5,5,5,7,0,3,0
829,791,500,466,541,648,557,440,697
5,3,11,3,8,9,3,8,5
0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0
0,0,0,0,2,0,0,0,0
3556,3289,2921,2013,2913,3405,1937,1446,2369
2,1,6,3,7,10,3,1,3
539,456,435,330,568,579,363,271,378
1,4,1,3,2,4,2,0,0
9,3,23,7,18,22,8,6,14
1251,897,790,764,1111,1050,880,656,1185
30,24,28,30,23,29,25,19,35
255,196,192,124,120,168,152,123,227
0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
597,560,348,289,458,422,307,284,439
6,2,6,1,3,3,0,1,4
8,12,3,4,3,3,3,2,2
0,1,0,0,2,2,2,1,2
1,1,1,1,3,2,3,0,0
20,10,10,20,14,11,25,22,15
3,1,1,2,2,3,0,1,2
241,169,125,146,219,146,201,217,277
473,347,177,284,362,212,351,319,451
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
13,3,13,7,19,9,2,8,11
0,0,0,0,0,0,0,0,0
168,129,127,334,388,166,267,289,417
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
16,18,9,5,16,11,6,0,1
0,0,0,0,0,0,0,0,0
2370,2290,2107,1570,2465,2664,1712,1341,1879
3,4,14,7,5,22,2,10,4
0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,1,2,2,1,2,0
561,500,458,374,564,548,332,247,349
9,6,3,2,1,4,2,5,4
124,96,141,76,95,149,80,64,122
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
6911,6010,8394,6126,9918,9904,5973,4703,7077
45,50,4,1,5,1,8,9,14
1095,741,777,697,1068,1002,941,762,1055
457,412,328,278,370,387,319,231,342
260,294,126,111,151,142,122,109,144
0,1,2,0,1,3,0,0,0
0,0,1,0,2,2,0,0,1
22,20,5,11,12,6,5,1,8
573,473,350,284,473,430,295,284,396
0,0,0,0,0,0,0,0,0
456,335,407,291,450,471,246,212,322
199,171,904,727,1833,1500,255,173,241
105,123,111,58,85,117,71,39,75
254,214,133,120,168,218,122,89,126
0,0,0,0,0,0,0,0,0
1228,940,1175,780,1165,1444,673,445,835
1062,1064,605,478,652,621,469,396,567
0,1,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
465,498,270,242,327,332,247,248,297
0,0,1,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0
7,9,8,11,8,3,5,4,10
1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
2,5,0,6,1,3,1,1,5
59,45,54,40,63,49,38,40,52
11,12,9,5,5,4,4,3,13
1726,1497,967,902,1268,1228,1108,815,1368
22,22,19,12,9,18,12,16,13
153,137,105,59,119,115,98,74,90
169,218,337,185,364,413,105,71,103
0,0,0,0,0,0,0,0,0
72,68,74,63,68,89,37,29,31
0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,1,0,0
0,0,0,3,0,0,0,0,0
9,19,5,13,11,10,12,8,24
0,0,0,0,0,0,0,0,0
111,89,49,43,39,51,59,47,75
28,27,1,7,2,6,12,3,10
336,307,28,39,40,26,63,45,74
830,852,415,315,411,461,358,288,394
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
3,0,0,0,1,1,0,0,3
4963,4883,3055,2836,3592,3432,2619,2035,3139
3344,3066,1883,1802,2167,2231,1938,1579,2121
63,61,48,36,74,75,47,42,62
1035,880,755,637,905,925,684,556,863
84,94,21,9,31,19,21,13,22
260,217,210,201,267,303,151,103,173
465,409,362,251,392,451,259,222,309
620,672,195,110,176,220,189,128,206
418,319,344,342,511,406,229,204,337
190,191,81,78,90,83,164,117,171
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,4,4,7,4,0,0,0
0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
1,0,1,1,5,3,1,0,1
0,0,0,0,0,0,0,0,0
601,590,347,350,486,420,401,370,444
98,93,37,75,67,47,105,88,139
1,0,0,2,0,1,0,3,4
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
861,793,525,539,653,644,641,485,762
655,524,295,267,342,412,332,283,349
103,98,69,57,56,67,52,48,74
140,180,70,58,87,66,41,44,43
1,1,1,0,1,1,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,1,0,2,1,0,3,0
0,0,1,0,0,0,0,0,0
533,522,354,284,408,396,253,170,360
503,393,566,374,671,709,335,282,426
301,244,368,268,358,359,227,177,248
5,5,10,3,7,2,2,0,3
692,615,736,671,942,833,601,508,709
1,0,0,1,0,0,1,0,1
201,136,138,163,270,198,151,139,179
4,4,20,10,15,27,14,16,11
0,0,0,0,0,0,0,0,0
312,237,223,216,277,292,245,190,297
1663,1413,1090,943,1268,1373,978,804,1144
0,0,0,0,0,0,0,0,0
13,15,12,6,11,10,17,11,10
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
